model_name,model_label,layer,max_layer,relative_layer,alignment,target_layer,is_target_layer
gemma2_9b,Gemma-2 9B,13,41,0.3170731707317073,0.5379239443297761,22,False
gemma2_9b,Gemma-2 9B,14,41,0.34146341463414637,0.5101835480298478,22,False
gemma2_9b,Gemma-2 9B,15,41,0.36585365853658536,0.4354500743868178,22,False
gemma2_9b,Gemma-2 9B,16,41,0.3902439024390244,0.7063047414124816,22,False
gemma2_9b,Gemma-2 9B,17,41,0.4146341463414634,0.607577265749972,22,False
gemma2_9b,Gemma-2 9B,18,41,0.43902439024390244,0.3668718050355504,22,False
gemma2_9b,Gemma-2 9B,19,41,0.4634146341463415,0.43538122188709794,22,False
gemma2_9b,Gemma-2 9B,20,41,0.4878048780487805,0.5319427084403178,22,False
gemma2_9b,Gemma-2 9B,21,41,0.5121951219512195,0.6179968951290661,22,False
gemma2_9b,Gemma-2 9B,22,41,0.5365853658536586,0.7032162903722852,22,True
gemma2_9b,Gemma-2 9B,23,41,0.5609756097560976,0.5668213713719878,22,False
gemma2_9b,Gemma-2 9B,24,41,0.5853658536585366,0.5361361406360267,22,False
gemma2_9b,Gemma-2 9B,25,41,0.6097560975609756,0.5988134507077045,22,False
gemma2_9b,Gemma-2 9B,26,41,0.6341463414634146,0.49116467143713277,22,False
gemma2_9b,Gemma-2 9B,27,41,0.6585365853658537,0.46902703195709783,22,False
gemma2_9b,Gemma-2 9B,28,41,0.6829268292682927,0.38640211106483047,22,False
gemma2_9b,Gemma-2 9B,29,41,0.7073170731707317,0.310915491249607,22,False
gemma2_9b,Gemma-2 9B,30,41,0.7317073170731707,0.2773976009058856,22,False
gemma2_9b,Gemma-2 9B,31,41,0.7560975609756098,0.27104598079777764,22,False
gemma2_9b,Gemma-2 9B,32,41,0.7804878048780488,0.2316349580097385,22,False
gemma2_9b,Gemma-2 9B,33,41,0.8048780487804879,0.2114466514925536,22,False
gemma2_9b,Gemma-2 9B,34,41,0.8292682926829268,0.21204282004176525,22,False
gemma2_9b,Gemma-2 9B,35,41,0.8536585365853658,0.2073846077795195,22,False
gemma2_9b,Gemma-2 9B,36,41,0.8780487804878049,0.16674908628302826,22,False
gemma2_9b,Gemma-2 9B,37,41,0.9024390243902439,0.14807119456879497,22,False
gemma2_9b,Gemma-2 9B,38,41,0.926829268292683,0.12085757263667882,22,False
