panel,metric,condition,alpha_norm,mean,ci_low,ci_high,n_models,endpoint,model_name,model_mean,mean_across_models
D. Accuracy sanity check,candidate_accuracy,direct_numeric,0.0,0.9983333333333332,0.995,1.0,8,,,,
D. Accuracy sanity check,candidate_accuracy,direct_numeric,0.2,0.9983333333333332,0.995,1.0,8,,,,
D. Accuracy sanity check,candidate_accuracy,direct_numeric,0.4,0.9975,0.9941666666666666,1.0,8,,,,
D. Accuracy sanity check,candidate_accuracy,direct_numeric,0.6,0.9975,0.9941666666666666,1.0,8,,,,
D. Accuracy sanity check,candidate_accuracy,direct_numeric,0.8,0.995,0.9891666666666667,0.9991666666666666,8,,,,
D. Accuracy sanity check,candidate_accuracy,direct_numeric,1.0,0.9933333333333334,0.985,0.9991666666666666,8,,,,
D. Accuracy sanity check,candidate_accuracy,verification_true,-1.0,0.1899999999999999,0.0,0.4424999999999999,8,,,,
D. Accuracy sanity check,candidate_accuracy,verification_true,-0.8,0.1925,0.0058333333333333,0.44,8,,,,
D. Accuracy sanity check,candidate_accuracy,verification_true,-0.6,0.1608333333333333,0.0299583333333333,0.335041666666666,8,,,,
D. Accuracy sanity check,candidate_accuracy,verification_true,-0.4,0.2016666666666666,0.0608333333333333,0.3708333333333333,8,,,,
D. Accuracy sanity check,candidate_accuracy,verification_true,-0.2,0.3033333333333333,0.1233333333333333,0.4958333333333333,8,,,,
D. Accuracy sanity check,candidate_accuracy,verification_true,0.0,0.4916666666666667,0.2883333333333333,0.7083333333333333,8,,,,
D. Accuracy sanity check,candidate_accuracy,verification_true,0.2,0.6933333333333334,0.4833333333333333,0.8708333333333333,8,,,,
D. Accuracy sanity check,candidate_accuracy,verification_true,0.4,0.8791666666666667,0.7408333333333332,0.97,8,,,,
D. Accuracy sanity check,candidate_accuracy,verification_true,0.6,0.9883333333333332,0.9766666666666668,1.0,8,,,,
D. Accuracy sanity check,candidate_accuracy,verification_true,0.8,0.9975,0.9925,1.0,8,,,,
D. Accuracy sanity check,candidate_accuracy,verification_true,1.0,1.0,1.0,1.0,8,,,,
D. Accuracy sanity check,candidate_accuracy,verification_false,-1.0,0.8558333333333333,0.6158333333333333,1.0,8,,,,
D. Accuracy sanity check,candidate_accuracy,verification_false,-0.8,0.865,0.6633333333333333,1.0,8,,,,
D. Accuracy sanity check,candidate_accuracy,verification_false,-0.6,0.9108333333333334,0.8,1.0,8,,,,
D. Accuracy sanity check,candidate_accuracy,verification_false,-0.4,0.9175,0.8083333333333333,0.9983333333333332,8,,,,
D. Accuracy sanity check,candidate_accuracy,verification_false,-0.2,0.8725,0.7025,0.9925,8,,,,
D. Accuracy sanity check,candidate_accuracy,verification_false,0.0,0.7833333333333333,0.5883333333333334,0.9591874999999996,8,,,,
D. Accuracy sanity check,candidate_accuracy,verification_false,0.2,0.6599999999999999,0.4558333333333333,0.8416666666666667,8,,,,
D. Accuracy sanity check,candidate_accuracy,verification_false,0.4,0.4775,0.2991666666666666,0.6441666666666666,8,,,,
D. Accuracy sanity check,candidate_accuracy,verification_false,0.6,0.175,0.0674999999999999,0.2866666666666666,8,,,,
D. Accuracy sanity check,candidate_accuracy,verification_false,0.8,0.0433333333333333,0.0041666666666666,0.0999999999999999,8,,,,
D. Accuracy sanity check,candidate_accuracy,verification_false,1.0,0.0158333333333333,0.0,0.0374999999999999,8,,,,
