model_name,target_layer,pair_id,pair_class,domain,valence_status,opposition_status,word_A,word_B,template_name,alpha_raw,alpha_norm,vaa_projection_AB,vaa_projection_BA,vaa_projection_delta,abs_vaa_projection_delta,vaa_projection_unit_AB,vaa_projection_unit_BA,vaa_projection_unit_delta,abs_vaa_projection_unit_delta,vaa_projection_cosine_AB,vaa_projection_cosine_BA,vaa_projection_cosine_delta,abs_vaa_projection_cosine_delta,activation_norm_AB,activation_norm_BA
qwen25_14b,28,valenced_nonopposite::deontic::016,valenced_nonopposite,deontic,valenced,nonopposite,Well-intentioned,Illegal,preference_control,0.0,0.0,-12.597457885742188,-12.041969299316406,-0.5554885864257812,0.5554885864257812,-12.597457885742188,-12.041969299316406,-0.5554885864257812,0.5554885864257812,-0.1155555993318557,-0.112351156771183,-0.0032044425606727,0.0032044425606727,109.01641845703124,107.18153381347656
qwen25_14b,28,valenced_nonopposite::deontic::017,valenced_nonopposite,deontic,valenced,nonopposite,Tolerant,Unreasonable,preference_control,0.0,0.0,-12.192062377929688,-12.31881332397461,0.1267509460449218,0.1267509460449218,-12.192062377929688,-12.31881332397461,0.1267509460449218,0.1267509460449218,-0.1130553260445594,-0.1134540736675262,0.0003987476229667,0.0003987476229667,107.84156036376952,108.5797348022461
qwen25_14b,28,valenced_nonopposite::deontic::018,valenced_nonopposite,deontic,valenced,nonopposite,Public-minded,Deceptive,preference_control,0.0,0.0,-5.447523593902588,-10.570018768310549,5.122495174407959,5.122495174407959,-5.447523593902588,-10.570018768310549,5.122495174407959,5.122495174407959,-0.0516721867024898,-0.0994618311524391,0.0477896444499492,0.0477896444499492,105.42467498779295,106.27210998535156
qwen25_14b,28,valenced_nonopposite::deontic::019,valenced_nonopposite,deontic,valenced,nonopposite,Impartial,Wicked,preference_control,0.0,0.0,-10.460832595825195,-11.727529525756836,1.2666969299316406,1.2666969299316406,-10.460832595825195,-11.727529525756836,1.2666969299316406,1.2666969299316406,-0.0977186858654022,-0.1088336035609245,0.0111149176955223,0.0111149176955223,107.05048370361328,107.75651550292967
qwen25_14b,28,valenced_nonopposite::epistemic::000,valenced_nonopposite,epistemic,valenced,nonopposite,Correct,Counterfeit,preference_control,0.0,0.0,-13.16285514831543,-12.466812133789062,-0.6960430145263672,0.6960430145263672,-13.16285514831543,-12.466812133789062,-0.6960430145263672,0.6960430145263672,-0.1196245402097702,-0.1167737916111946,-0.0028507485985755,0.0028507485985755,110.03473663330078,106.76036071777344
qwen25_14b,28,valenced_nonopposite::epistemic::001,valenced_nonopposite,epistemic,valenced,nonopposite,True,Nonsensical,preference_control,0.0,0.0,-13.793373107910156,-11.17626953125,-2.617103576660156,2.617103576660156,-13.793373107910156,-11.17626953125,-2.617103576660156,2.617103576660156,-0.1274673789739608,-0.1037237420678138,-0.023743636906147,0.023743636906147,108.21099853515624,107.75035095214844
qwen25_14b,28,valenced_nonopposite::epistemic::002,valenced_nonopposite,epistemic,valenced,nonopposite,Logical,Biased,preference_control,0.0,0.0,-7.276195526123047,-12.135337829589844,4.859142303466797,4.859142303466797,-7.276195526123047,-12.135337829589844,4.859142303466797,4.859142303466797,-0.0669830814003944,-0.1123968735337257,0.0454137921333313,0.0454137921333313,108.62736511230467,107.96864318847656
qwen25_14b,28,valenced_nonopposite::epistemic::003,valenced_nonopposite,epistemic,valenced,nonopposite,Certain,Vague,preference_control,0.0,0.0,-8.581756591796875,-6.635313034057617,-1.9464435577392576,1.9464435577392576,-8.581756591796875,-6.635313034057617,-1.9464435577392576,1.9464435577392576,-0.0797867551445961,-0.0632924437522888,-0.0164943113923072,0.0164943113923072,107.55866241455078,104.83578491210938
qwen25_14b,28,valenced_nonopposite::epistemic::004,valenced_nonopposite,epistemic,valenced,nonopposite,Valid,Careless,preference_control,0.0,0.0,-13.69573974609375,-14.551628112792969,0.8558883666992188,0.8558883666992188,-13.69573974609375,-14.551628112792969,0.8558883666992188,0.8558883666992188,-0.1231596320867538,-0.1299365609884262,0.0067769289016723,0.0067769289016723,111.20315551757812,111.99024963378906
qwen25_14b,28,valenced_nonopposite::epistemic::005,valenced_nonopposite,epistemic,valenced,nonopposite,Accurate,Unscientific,preference_control,0.0,0.0,-13.927583694458008,-8.907751083374023,-5.019832611083984,5.019832611083984,-13.927583694458008,-8.907751083374023,-5.019832611083984,5.019832611083984,-0.1288593113422393,-0.0818873196840286,-0.0469719916582107,0.0469719916582107,108.0836410522461,108.78059387207033
