model_name,target_layer,pair_id,pair_class,domain,valence_status,opposition_status,alpha_norm,template_name,first_token_logit_diff_canonical_AB,first_token_logit_diff_canonical_BA,logprob_diff_canonical_AB,logprob_diff_canonical_BA,d_AB,d_BA,semantic_component,position_component,first_token_d_AB,first_token_d_BA,first_token_semantic_component,first_token_position_component
llama3_8b,13,neutral_nonopposite::neutral::005,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,1.625,-1.0,1.617160081863403,-1.0000215768814087,1.617160081863403,-1.0000215768814087,0.3085692524909973,1.308590829372406,1.625,-1.0,0.3125,1.3125
llama3_8b,13,neutral_nonopposite::neutral::005,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,1.875,-1.375,1.8749701976776123,-1.3672082424163818,1.8749701976776123,-1.3672082424163818,0.2538809776306152,1.621089220046997,1.875,-1.375,0.25,1.625
llama3_8b,13,neutral_nonopposite::neutral::005,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,2.125,-1.5,2.1327826976776123,-1.5000219345092771,2.1327826976776123,-1.5000219345092771,0.3163803815841675,1.8164023160934448,2.125,-1.5,0.3125,1.8125
llama3_8b,13,neutral_nonopposite::neutral::005,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,2.125,-1.625,2.1249701976776123,-1.625028133392334,2.1249701976776123,-1.625028133392334,0.2499710321426391,1.8749991655349727,2.125,-1.625,0.25,1.875
llama3_8b,13,neutral_nonopposite::neutral::005,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,2.0,-1.875,1.9999668598175049,-1.8750275373458865,1.9999668598175049,-1.8750275373458865,0.0624696612358093,1.937497198581696,2.0,-1.875,0.0625,1.9375
llama3_8b,13,neutral_nonopposite::neutral::005,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,2.125,-2.125,2.124961853027344,-2.125030994415283,2.124961853027344,-2.125030994415283,-3.457069396972656e-05,2.124996423721313,2.125,-2.125,0.0,2.125
llama3_8b,13,neutral_nonopposite::neutral::005,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,1.875,-2.125,1.86714506149292,-2.11722183227539,1.86714506149292,-2.11722183227539,-0.1250383853912353,1.9921834468841555,1.875,-2.125,-0.125,2.0
llama3_8b,13,neutral_nonopposite::neutral::006,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,0.75,-1.25,0.7491945028305054,-1.2503221035003662,0.7491945028305054,-1.2503221035003662,-0.2505638003349304,0.9997583031654358,0.75,-1.25,-0.25,1.0
llama3_8b,13,neutral_nonopposite::neutral::006,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,1.5,-1.25,1.4918752908706665,-1.2423200607299805,1.4918752908706665,-1.2423200607299805,0.124777615070343,1.3670976758003237,1.5,-1.25,0.125,1.375
llama3_8b,13,neutral_nonopposite::neutral::006,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,1.75,-1.5,1.7575922012329102,-1.507933497428894,1.7575922012329102,-1.507933497428894,0.124829351902008,1.632762849330902,1.75,-1.5,0.125,1.625
