"model_name","score_mode","component","pair_class","valence_status","opposition_status","alpha_norm","mean","ci_low","ci_high","n_pairs"
"qwen25_3b","first_token","semantic","valenced_opposite","valenced","opposite",0,-4.5703125,-5.62423828125,-3.488662109375,80
"qwen25_3b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",0.2,-0.3225,-0.9675,0.305062499999999,25
"qwen25_3b","first_token","semantic","neutral_opposite","neutral","opposite",0.2,0.747395833333333,-0.565364583333333,2.04694010416667,24
"qwen25_3b","first_token","semantic","valenced_nonopposite","valenced","nonopposite",0.2,1.30458860759494,0.197745253164557,2.39800237341772,79
"qwen25_3b","first_token","semantic","valenced_opposite","valenced","opposite",0.2,0.715234375,-0.24302734375,1.6984375,80
"qwen25_3b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",0.4,-0.21,-0.9175625,0.4725,25
"qwen25_3b","first_token","semantic","neutral_opposite","neutral","opposite",0.4,0.760416666666667,-0.854166666666667,2.3412109375,24
"qwen25_3b","first_token","semantic","valenced_nonopposite","valenced","nonopposite",0.4,5.5996835443038,4.62262658227848,6.54910996835443,79
"qwen25_3b","first_token","semantic","valenced_opposite","valenced","opposite",0.4,4.91015625,4.06556640625,5.76953125,80
"qwen25_3b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",0.6,-0.09,-0.89,0.685,25
"qwen25_3b","first_token","semantic","neutral_opposite","neutral","opposite",0.6,0.799479166666667,-0.924479166666667,2.49485677083333,24
"qwen25_3b","first_token","semantic","valenced_nonopposite","valenced","nonopposite",0.6,7.02927215189873,6.11743473101266,7.98261471518987,79
"qwen25_3b","first_token","semantic","valenced_opposite","valenced","opposite",0.6,6.1935546875,5.2837744140625,7.066044921875,80
"qwen25_3b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",0.8,-0.08,-0.9625625,0.795,25
"qwen25_3b","first_token","semantic","neutral_opposite","neutral","opposite",0.8,0.796875,-0.783984375,2.43229166666667,24
"qwen25_3b","first_token","semantic","valenced_nonopposite","valenced","nonopposite",0.8,6.7157832278481,5.67957377373418,7.73556665348101,79
"qwen25_3b","first_token","semantic","valenced_opposite","valenced","opposite",0.8,5.8046875,4.910537109375,6.72232421875,80
"qwen25_3b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",1,-0.175,-1.1925625,0.812687499999997,25
"qwen25_3b","first_token","semantic","neutral_opposite","neutral","opposite",1,0.66015625,-0.849088541666667,2.2083984375,24
"qwen25_3b","first_token","semantic","valenced_nonopposite","valenced","nonopposite",1,5.81111550632911,4.73606606012658,6.88481012658228,79
"qwen25_3b","first_token","semantic","valenced_opposite","valenced","opposite",1,4.863671875,3.8890625,5.81171875,80
"qwen25_3b","first_token","position","neutral_nonopposite","neutral","nonopposite",-1,-4.77,-5.8625,-3.6075,25
"qwen25_3b","first_token","position","neutral_opposite","neutral","opposite",-1,-6.04166666666667,-7.3568359375,-4.6666015625,24
"qwen25_3b","first_token","position","valenced_nonopposite","valenced","nonopposite",-1,-5.96083860759494,-6.63928006329114,-5.26658425632911,79
