"contrast","opposition_status","estimate","SE","df","ci_low","ci_high","p_value","model_name","score_mode","component","contrast_family","contrast_stratum","valence_status","p_holm_across_models"
"opposite - nonopposite",NA,0.575980726737052,0.547735336177681,204.000012042812,-0.50396761301777,1.65592906649187,0.294242021198167,"qwen25_72b","first_token","semantic","opposite_minus_nonopposite_within_valence","neutral","neutral",1
"opposite - nonopposite",NA,0.221931439111378,0.304010348880455,204.000012047241,-0.37747387556634,0.821336753789097,0.466219826440888,"qwen25_72b","first_token","semantic","opposite_minus_nonopposite_within_valence","valenced","valenced",1
"valenced - neutral","nonopposite",-2.12002605957872,0.191341709197737,204.000017651001,-2.497287023938,-1.74276509521944,1.2202042356623e-22,"qwen25_72b","first_token","position","valenced_minus_neutral_within_opposition","nonopposite",NA,8.5414296496361e-22
"valenced - neutral","opposite",-1.41323266682133,0.194062930240337,204.000017551725,-1.79585895628032,-1.03060637736235,6.99915678676538e-12,"qwen25_72b","first_token","position","valenced_minus_neutral_within_opposition","opposite",NA,5.5993254294123e-11
"opposite - nonopposite",NA,-1.01177612761686,0.238286228904512,204.00001712073,-1.48159576541755,-0.541956489816158,3.30410518709872e-05,"qwen25_72b","first_token","position","opposite_minus_nonopposite_within_valence","neutral","neutral",0.000231287363096911
"opposite - nonopposite",NA,-0.304982734859471,0.132256355940438,204.000019129276,-0.565747419108287,-0.0442180506106539,0.0221155287059273,"qwen25_72b","first_token","position","opposite_minus_nonopposite_within_valence","valenced","valenced",0.110577643529636
"valenced - neutral","nonopposite",1.69862433513612,0.208705672747934,203.999977474039,1.28712752249239,2.11012114777984,3.88423190179817e-14,"llama3_8b","sequence","semantic","valenced_minus_neutral_within_opposition","nonopposite",NA,7.76846380359635e-14
"valenced - neutral","opposite",1.86876610328248,0.211673840382545,203.999977387935,1.45141707059522,2.28611513596973,4.85622910443057e-16,"llama3_8b","sequence","semantic","valenced_minus_neutral_within_opposition","opposite",NA,9.71245820886113e-16
"opposite - nonopposite",NA,0.107253257759027,0.259910334859038,203.999977094471,-0.405201784601115,0.61970830011917,0.680292870715792,"llama3_8b","sequence","semantic","opposite_minus_nonopposite_within_valence","neutral","neutral",1
"opposite - nonopposite",NA,0.27739502590539,0.14425841525861,203.999978543629,-0.00703364961887409,0.561823701429654,0.0558846783520733,"llama3_8b","sequence","semantic","opposite_minus_nonopposite_within_valence","valenced","valenced",0.447077426816586
"valenced - neutral","nonopposite",-0.164392416901715,0.0971976611466864,204.000009923714,-0.356033243879274,0.0272484100758444,0.0923026316134136,"llama3_8b","sequence","position","valenced_minus_neutral_within_opposition","nonopposite",NA,0.0923026316134136
"valenced - neutral","opposite",0.031731120461706,0.0985799855855811,204.000009975755,-0.162635181547526,0.226097422470939,0.747871698164808,"llama3_8b","sequence","position","valenced_minus_neutral_within_opposition","opposite",NA,0.747871698164808
"opposite - nonopposite",NA,-0.115195609779751,0.121044513661407,204.000010430433,-0.353854343180926,0.123463123621424,0.342385619680112,"llama3_8b","sequence","position","opposite_minus_nonopposite_within_valence","neutral","neutral",0.684771239360224
"opposite - nonopposite",NA,0.0809279275836697,0.0671835143685772,204.000008422123,-0.051535180082963,0.213391035250302,0.229761067463667,"llama3_8b","sequence","position","opposite_minus_nonopposite_within_valence","valenced","valenced",0.459522134927335
"valenced - neutral","nonopposite",1.69834188304688,0.205989582432777,203.999950846987,1.29220027913708,2.10448348695668,2.00271013942411e-14,"llama3_8b","first_token","semantic","valenced_minus_neutral_within_opposition","nonopposite",NA,4.00542027884822e-14
"valenced - neutral","opposite",1.85728787106858,0.208919122409308,203.99995098483,1.4453702077562,2.26920553438096,3.26140807801074e-16,"llama3_8b","first_token","semantic","valenced_minus_neutral_within_opposition","opposite",NA,6.52281615602147e-16
"opposite - nonopposite",NA,0.107005367074607,0.256527868373938,203.999951605103,-0.398780598779482,0.612791332928697,0.677022243342101,"llama3_8b","first_token","semantic","opposite_minus_nonopposite_within_valence","neutral","neutral",1
