"model_name","target_layer","score_mode","component","pair_id","pair_class","valence_status","opposition_status","slope","std_error","t_value","p_value","p_fdr_within_model_component","abs_slope"
"qwen25_3b",26,"first_token","semantic","valenced_opposite::epistemic::006","valenced_opposite","valenced","opposite",6.18979917004549,0.802779004061392,7.71046469667278,2.9678885017957e-05,5.46301600330535e-05,6.18979917004549
"qwen25_3b",26,"first_token","semantic","valenced_opposite::epistemic::007","valenced_opposite","valenced","opposite",6.18485811120148,0.757116027055876,8.16896999955468,1.87235043886012e-05,4.32720990314339e-05,6.18485811120148
"qwen25_3b",26,"first_token","semantic","valenced_opposite::epistemic::008","valenced_opposite","valenced","opposite",10.6690936057272,1.5077727524712,7.07606208444927,5.81727092102808e-05,8.46148497604084e-05,10.6690936057272
"qwen25_3b",26,"first_token","semantic","valenced_opposite::epistemic::009","valenced_opposite","valenced","opposite",7.06122227526235,0.807013776262867,8.74981627694334,1.07463149557068e-05,3.41948681480407e-05,7.06122227526235
"qwen25_3b",26,"first_token","semantic","valenced_opposite::epistemic::010","valenced_opposite","valenced","opposite",7.94522262117305,1.25195210289861,6.34626724359319,0.000133463082038732,0.000167230849783471,7.94522262117305
"qwen25_3b",26,"first_token","semantic","valenced_opposite::epistemic::011","valenced_opposite","valenced","opposite",4.93207510066034,0.64244897706457,7.67699113351477,3.07191165004577e-05,5.60489143166246e-05,4.93207510066034
"qwen25_3b",26,"first_token","semantic","valenced_opposite::epistemic::012","valenced_opposite","valenced","opposite",8.05662103874717,0.997551381150312,8.07639705681806,2.05146307156781e-05,4.49162440932741e-05,8.05662103874717
"qwen25_3b",26,"first_token","semantic","valenced_opposite::epistemic::013","valenced_opposite","valenced","opposite",10.3852073157802,1.36375801751117,7.61513933002063,3.2747994827941e-05,5.87205424501011e-05,10.3852073157802
"qwen25_3b",26,"first_token","semantic","valenced_opposite::epistemic::014","valenced_opposite","valenced","opposite",10.2450609194773,1.29022680344034,7.94051161560064,2.34937292495381e-05,4.80977180972182e-05,10.2450609194773
"qwen25_3b",26,"first_token","semantic","valenced_opposite::epistemic::015","valenced_opposite","valenced","opposite",2.86222063218649,0.34503552720949,8.2954374447611,1.65482038537951e-05,4.17125367046239e-05,2.86222063218649
"qwen25_3b",26,"first_token","semantic","valenced_opposite::epistemic::016","valenced_opposite","valenced","opposite",8.25426339250769,0.927748875076985,8.89708800975129,9.37939915945788e-06,3.2515250419454e-05,8.25426339250769
"qwen25_3b",26,"first_token","semantic","valenced_opposite::epistemic::017","valenced_opposite","valenced","opposite",4.04448125740853,0.476999831794185,8.47899933674116,1.38688702458313e-05,3.84806965851806e-05,4.04448125740853
"qwen25_3b",26,"first_token","semantic","valenced_opposite::epistemic::018","valenced_opposite","valenced","opposite",1.74104946176316,0.279405170310985,6.23127145365752,0.000153021932741152,0.00018945572625095,1.74104946176316
"qwen25_3b",26,"first_token","semantic","valenced_opposite::epistemic::019","valenced_opposite","valenced","opposite",7.36487280058533,0.854029964536366,8.62367025328386,1.20924095020828e-05,3.69885467122533e-05,7.36487280058533
"qwen25_3b",26,"first_token","semantic","valenced_opposite::utilitarian::000","valenced_opposite","valenced","opposite",5.86818115801701,0.810766233113255,7.23782135756175,4.87984474691179e-05,7.64679537096682e-05,5.86818115801701
"qwen25_3b",26,"first_token","semantic","valenced_opposite::utilitarian::001","valenced_opposite","valenced","opposite",3.34374927589395,0.469929454316258,7.1154281673173,5.57225744122224e-05,8.23426382637067e-05,3.34374927589395
"qwen25_3b",26,"first_token","semantic","valenced_opposite::utilitarian::002","valenced_opposite","valenced","opposite",1.57934208141364,0.499651580279548,3.16088679341316,0.0115337563063617,0.0124301622369079,1.57934208141364
"qwen25_3b",26,"first_token","semantic","valenced_opposite::utilitarian::003","valenced_opposite","valenced","opposite",3.44257045277421,0.417562741693615,8.24443876101423,1.73900909202922e-05,4.21618890275508e-05,3.44257045277421
"qwen25_3b",26,"first_token","semantic","valenced_opposite::utilitarian::004","valenced_opposite","valenced","opposite",4.41461148354188,0.912656949972624,4.83709841214084,0.000924741325805545,0.00105107210801942,4.41461148354188
"qwen25_3b",26,"first_token","semantic","valenced_opposite::utilitarian::005","valenced_opposite","valenced","opposite",4.35711552608427,0.610434912381625,7.13772334725236,5.43851629360612e-05,8.13821143215879e-05,4.35711552608427
"qwen25_3b",26,"first_token","semantic","valenced_opposite::utilitarian::006","valenced_opposite","valenced","opposite",7.61641761446236,0.829821932271711,9.17837588795918,7.26960191459061e-06,3.05877014504093e-05,7.61641761446236
"qwen25_3b",26,"first_token","semantic","valenced_opposite::utilitarian::007","valenced_opposite","valenced","opposite",4.77036772031082,0.64006045389625,7.45299555889149,3.87987519428185e-05,6.66953752405476e-05,4.77036772031082
"qwen25_3b",26,"first_token","semantic","valenced_opposite::utilitarian::008","valenced_opposite","valenced","opposite",4.81887993441568,0.571102342557734,8.43785706224542,1.44250884979023e-05,3.84806965851806e-05,4.81887993441568
"qwen25_3b",26,"first_token","semantic","valenced_opposite::utilitarian::009","valenced_opposite","valenced","opposite",5.69928678298528,0.692492205404115,8.2301096510673,1.76350208913314e-05,4.21618890275508e-05,5.69928678298528
"qwen25_3b",26,"first_token","semantic","valenced_opposite::utilitarian::010","valenced_opposite","valenced","opposite",6.2508886248442,0.530830027646033,11.7756876952944,9.04108538809549e-07,1.36139475583989e-05,6.2508886248442
"qwen25_3b",26,"first_token","semantic","valenced_opposite::utilitarian::011","valenced_opposite","valenced","opposite",6.44314073259307,0.574854754682186,11.2082933647391,1.37412381237598e-06,1.38509717140417e-05,6.44314073259307
"qwen25_3b",26,"first_token","semantic","valenced_opposite::utilitarian::012","valenced_opposite","valenced","opposite",5.31118907014644,0.326902937128179,16.2469909778263,5.62774126571757e-08,2.34114036653851e-06,5.31118907014644
"qwen25_3b",26,"first_token","semantic","valenced_opposite::utilitarian::013","valenced_opposite","valenced","opposite",5.80080308287137,0.848572089924403,6.83595790121751,7.59202158992189e-05,0.000102541590305439,5.80080308287137
"qwen25_3b",26,"first_token","semantic","valenced_opposite::utilitarian::014","valenced_opposite","valenced","opposite",7.24808413699957,1.0903736585846,6.64733972609738,9.40244465765294e-05,0.000120722746221717,7.24808413699957
"qwen25_3b",26,"first_token","semantic","valenced_opposite::utilitarian::015","valenced_opposite","valenced","opposite",6.32994556634841,0.682110364583322,9.27994338601666,6.64106585865701e-06,3.05877014504093e-05,6.32994556634841
"qwen25_3b",26,"first_token","semantic","valenced_opposite::utilitarian::016","valenced_opposite","valenced","opposite",8.25606014117824,0.72903998309197,11.3245642662327,1.25926804097318e-06,1.38509717140417e-05,8.25606014117824
"qwen25_3b",26,"first_token","semantic","valenced_opposite::utilitarian::017","valenced_opposite","valenced","opposite",5.62112821581635,0.701129290744902,8.01724915791819,2.17570960619312e-05,4.65655627319635e-05,5.62112821581635
"qwen25_3b",26,"first_token","semantic","valenced_opposite::utilitarian::018","valenced_opposite","valenced","opposite",4.92848160331924,0.527689378984736,9.3397400053826,6.29916018370611e-06,3.05877014504093e-05,4.92848160331924
"qwen25_3b",26,"first_token","semantic","valenced_opposite::utilitarian::019","valenced_opposite","valenced","opposite",6.93185637098273,0.746417830436896,9.28683116656706,6.60066079054242e-06,3.05877014504093e-05,6.93185637098273
"qwen25_3b",26,"first_token","position","neutral_nonopposite::neutral::000","neutral_nonopposite","neutral","nonopposite",4.70927826551211,0.199986906997971,23.5479328932263,2.14134977569702e-09,1.4846691778166e-07,4.70927826551211
"qwen25_3b",26,"first_token","position","neutral_nonopposite::neutral::001","neutral_nonopposite","neutral","nonopposite",5.12253045973867,0.123642479331066,41.4301823083192,1.38588624356496e-11,2.88264338661512e-09,5.12253045973867
"qwen25_3b",26,"first_token","position","neutral_nonopposite::neutral::002","neutral_nonopposite","neutral","nonopposite",7.38463703596139,0.547260006479898,13.4938364735641,2.81778366302246e-07,1.90214828407058e-06,7.38463703596139
"qwen25_3b",26,"first_token","position","neutral_nonopposite::neutral::003","neutral_nonopposite","neutral","nonopposite",6.03348203570762,0.482094451002899,12.5151451611944,5.37831222147853e-07,2.48597542681674e-06,6.03348203570762
"qwen25_3b",26,"first_token","position","neutral_nonopposite::neutral::004","neutral_nonopposite","neutral","nonopposite",5.46570945581375,0.351924314505969,15.5309230721569,8.33671257591751e-08,9.34046217942713e-07,5.46570945581375
